1001 ,            김지인,   서울,   기타
1002 ,            김지인,   대전,   기타
1003 ,            김지인,   서울,   기타
1004 ,            김지인,   서울,   기타
1005 ,            김지인,   서울,   기타
1006 ,            김지인,   서울,   기타
1007 ,            김지인,   서울,   기타
1008 ,            김지인,   서울,   기타
1009 ,            김지인,   서울,   기타
2000 ,            김지인,   서울,   기타
2001 ,            김지인,   서울,   기타
2002 ,            김지인,   대전,   기타
2003 ,            김지인,   서울,   기타
2004 ,            김지인,   서울,   기타
2005 ,            김지인,   서울,   기타
2006 ,            김지인,   서울,   기타
2007 ,            김지인,   서울,   기타
2008 ,            김지인,   서울,   기타
2009 ,            김지인,   서울,   기타
3000 ,            김지인,   서울,   기타
3001 ,            김지인,   서울,   기타
3002 ,            김지인,   대전,   기타
3003 ,            김지인,   서울,   기타
3004 ,            김지인,   서울,   기타
3005 ,            김지인,   서울,   기타
3006 ,            김지인,   서울,   기타
3007 ,            김지인,   서울,   기타
3008 ,            김지인,   서울,   기타
3009 ,            김지인,   서울,   기타
4000 ,            김지인,   서울,   기타
4001 ,            김지인,   서울,   기타
4002 ,            김지인,   대전,   기타
4003 ,            김지인,   서울,   기타
4004 ,            김지인,   서울,   기타
4005 ,            김지인,   서울,   기타
4006 ,            김지인,   서울,   기타
4007 ,            김지인,   서울,   기타
4008 ,            김지인,   서울,   기타
4009 ,            김지인,   서울,   기타
5000 ,            김지인,   서울,   기타
1001 ,            김지인,   서울,   기타
1002 ,            김지인,   대전,   기타
1003 ,            김지인,   서울,   기타
1004 ,            김지인,   서울,   기타
1005 ,            김지인,   서울,   기타
1006 ,            김지인,   서울,   기타
1007 ,            김지인,   서울,   기타
1008 ,            김지인,   서울,   기타
1009 ,            김지인,   서울,   기타
2000 ,            김지인,   서울,   기타
2001 ,            김지인,   서울,   기타
2002 ,            김지인,   대전,   기타
2003 ,            김지인,   서울,   기타
2004 ,            김지인,   서울,   기타
2005 ,            김지인,   서울,   기타
2006 ,            김지인,   서울,   기타
2007 ,            김지인,   서울,   기타
2008 ,            김지인,   서울,   기타
2009 ,            김지인,   서울,   기타
3000 ,            김지인,   서울,   기타
3001 ,            김지인,   서울,   기타
3002 ,            김지인,   대전,   기타
3003 ,            김지인,   서울,   기타
3004 ,            김지인,   서울,   기타
3005 ,            김지인,   서울,   기타
3006 ,            김지인,   서울,   기타
3007 ,            김지인,   서울,   기타
3008 ,            김지인,   서울,   기타
3009 ,            김지인,   서울,   기타
4000 ,            김지인,   서울,   기타
4001 ,            김지인,   서울,   기타
4002 ,            김지인,   대전,   기타
4003 ,            김지인,   서울,   기타
4004 ,            김지인,   서울,   기타
4005 ,            김지인,   서울,   기타
4006 ,            김지인,   서울,   기타
4007 ,            김지인,   서울,   기타
4008 ,            김지인,   서울,   기타
4009 ,            김지인,   서울,   기타
5000 ,            김지인,   서울,   기타
1001 ,            김지인,   서울,   기타
1002 ,            김지인,   대전,   기타
1003 ,            김지인,   서울,   기타
1004 ,            김지인,   서울,   기타
1005 ,            김지인,   서울,   기타
1006 ,            김지인,   서울,   기타
1007 ,            김지인,   서울,   기타
1008 ,            김지인,   서울,   기타
1009 ,            김지인,   서울,   기타
2000 ,            김지인,   서울,   기타
2001 ,            김지인,   서울,   기타
2002 ,            김지인,   대전,   기타
2003 ,            김지인,   서울,   기타
2004 ,            김지인,   서울,   기타
2005 ,            김지인,   서울,   기타
2006 ,            김지인,   서울,   기타
2007 ,            김지인,   서울,   기타
2008 ,            김지인,   서울,   기타
2009 ,            김지인,   서울,   기타
3000 ,            김지인,   서울,   기타
3001 ,            김지인,   서울,   기타
3002 ,            김지인,   대전,   기타
3003 ,            김지인,   서울,   기타
3004 ,            김지인,   서울,   기타
3005 ,            김지인,   서울,   기타
3006 ,            김지인,   서울,   기타
3007 ,            김지인,   서울,   기타
3008 ,            김지인,   서울,   기타
3009 ,            김지인,   서울,   기타
4000 ,            김지인,   서울,   기타
4001 ,            김지인,   서울,   기타
4002 ,            김지인,   대전,   기타
4003 ,            김지인,   서울,   기타
4004 ,            김지인,   서울,   기타
4005 ,            김지인,   서울,   기타
4006 ,            김지인,   서울,   기타
4007 ,            김지인,   서울,   기타
4008 ,            김지인,   서울,   기타
4009 ,            김지인,   서울,   기타
5000 ,            김지인,   서울,   기타
1001 ,            김지인,   서울,   기타
1002 ,            김지인,   대전,   기타
1003 ,            김지인,   서울,   기타
1004 ,            김지인,   서울,   기타
1005 ,            김지인,   서울,   기타
1006 ,            김지인,   서울,   기타
1007 ,            김지인,   서울,   기타
1008 ,            김지인,   서울,   기타
1009 ,            김지인,   서울,   기타
2000 ,            김지인,   서울,   기타
2001 ,            김지인,   서울,   기타
2002 ,            김지인,   대전,   기타
2003 ,            김지인,   서울,   기타
2004 ,            김지인,   서울,   기타
2005 ,            김지인,   서울,   기타
2006 ,            김지인,   서울,   기타
2007 ,            김지인,   서울,   기타
2008 ,            김지인,   서울,   기타
2009 ,            김지인,   서울,   기타
3000 ,            김지인,   서울,   기타
3001 ,            김지인,   서울,   기타
3002 ,            김지인,   대전,   기타
3003 ,            김지인,   서울,   기타
3004 ,            김지인,   서울,   기타
3005 ,            김지인,   서울,   기타
3006 ,            김지인,   서울,   기타
3007 ,            김지인,   서울,   기타
3008 ,            김지인,   서울,   기타
3009 ,            김지인,   서울,   기타
4000 ,            김지인,   서울,   기타
4001 ,            김지인,   서울,   기타
4002 ,            김지인,   대전,   기타
4003 ,            김지인,   서울,   기타
4004 ,            김지인,   서울,   기타
4005 ,            김지인,   서울,   기타
4006 ,            김지인,   서울,   기타
4007 ,            김지인,   서울,   기타
4008 ,            김지인,   서울,   기타
4009 ,            김지인,   서울,   기타
5000 ,            김지인,   서울,   기타
1001 ,            김지인,   서울,   기타
1002 ,            김지인,   대전,   기타
1003 ,            김지인,   서울,   기타
1004 ,            김지인,   서울,   기타
1005 ,            김지인,   서울,   기타
1006 ,            김지인,   서울,   기타
1007 ,            김지인,   서울,   기타
1008 ,            김지인,   서울,   기타
1009 ,            김지인,   서울,   기타
2000 ,            김지인,   서울,   기타
2001 ,            김지인,   서울,   기타
2002 ,            김지인,   대전,   기타
2003 ,            김지인,   서울,   기타
2004 ,            김지인,   서울,   기타
2005 ,            김지인,   서울,   기타
2006 ,            김지인,   서울,   기타
2007 ,            김지인,   서울,   기타
2008 ,            김지인,   서울,   기타
2009 ,            김지인,   서울,   기타
3000 ,            김지인,   서울,   기타
3001 ,            김지인,   서울,   기타
3002 ,            김지인,   대전,   기타
3003 ,            김지인,   서울,   기타
3004 ,            김지인,   서울,   기타
3005 ,            김지인,   서울,   기타
3006 ,            김지인,   서울,   기타
3007 ,            김지인,   서울,   기타
3008 ,            김지인,   서울,   기타
3009 ,            김지인,   서울,   기타
4000 ,            김지인,   서울,   기타
4001 ,            김지인,   서울,   기타
4002 ,            김지인,   대전,   기타
4003 ,            김지인,   서울,   기타
4004 ,            김지인,   서울,   기타
4005 ,            김지인,   서울,   기타
4006 ,            김지인,   서울,   기타
4007 ,            김지인,   서울,   기타
4008 ,            김지인,   서울,   기타
4009 ,            김지인,   서울,   기타
5000 ,            김지인,   서울,   기타
1001 ,            김지인,   서울,   기타
1002 ,            김지인,   대전,   기타
1003 ,            김지인,   서울,   기타
1004 ,            김지인,   서울,   기타
1005 ,            김지인,   서울,   기타
1006 ,            김지인,   서울,   기타
1007 ,            김지인,   서울,   기타
1008 ,            김지인,   서울,   기타
1009 ,            김지인,   서울,   기타
2000 ,            김지인,   서울,   기타
2001 ,            김지인,   서울,   기타
2002 ,            김지인,   대전,   기타
2003 ,            김지인,   서울,   기타
2004 ,            김지인,   서울,   기타
2005 ,            김지인,   서울,   기타
2006 ,            김지인,   서울,   기타
2007 ,            김지인,   서울,   기타
2008 ,            김지인,   서울,   기타
2009 ,            김지인,   서울,   기타
3000 ,            김지인,   서울,   기타
3001 ,            김지인,   서울,   기타
3002 ,            김지인,   대전,   기타
3003 ,            김지인,   서울,   기타
3004 ,            김지인,   서울,   기타
3005 ,            김지인,   서울,   기타
3006 ,            김지인,   서울,   기타
3007 ,            김지인,   서울,   기타
3008 ,            김지인,   서울,   기타
3009 ,            김지인,   서울,   기타
4000 ,            김지인,   서울,   기타
4001 ,            김지인,   서울,   기타
4002 ,            김지인,   대전,   기타
4003 ,            김지인,   서울,   기타
4004 ,            김지인,   서울,   기타
4005 ,            김지인,   서울,   기타
4006 ,            김지인,   서울,   기타
4007 ,            김지인,   서울,   기타
4008 ,            김지인,   서울,   기타
4009 ,            김지인,   서울,   기타
5000 ,            김지인,   서울,   기타
